storeName,description,wholesalers,distributors,name,position,phoneNumber,email,linkedinPage,city,facebookpage,website,phones
Bluetech Shop Inc.,One of the Largest Canadian Mobile and Accessories Wholesale.,yes,no,Mohammed Fatmi,CEO,1 416-743-0999,sales@bluetechshop.com,https://www.linkedin.com/in/mohammed-fatmi-05968818/,"691 Markham Rd #683, Scarborough, ON M1H 2A7, Canada",https://www.facebook.com/bluetechshopinc/,https://bluetechshop.com/,yes
Budget Electronics,"Budget Electronics is a wholesale cell phone, mobile, computer and electronics distributor in Canada.",yes,no,Gitika Ganesh,Ecommerce Specialist,1 (866) 777-2241,support@BudgetElectronics.ca,https://www.linkedin.com/in/gitika-ganesh-1148bb119/,"2450 Finch Ave. West, Unit #5, Toronto, ON, Canada, M9M 2E9",N/A,https://budgetelectronics.ca/,yes
Canadian Cell Parts Inc.,We offer best high quality iPhone and Smartphone LCDs and Parts at wholesale price.,yes,no,Jordan Liu,East Coast Director,1 647-860-2271,jordan@canadiancellparts.com,https://www.linkedin.com/in/jordan-liu-33437b1a3/,"98 Lower Ossington AveToronto, ON M6J 2Y7, Canada",https://www.facebook.com/CanadaianCellPartsCA/,https://www.canadiancellparts.com/,yes
CanFixParts.ca,"CanFixParts.ca is leading and trusted source for iPhone parts, Samsung parts, Sony parts, LG parts, Google Nexus parts, HTC parts, Motorola parts, Nokia parts, Blackberry parts, One Plus parts, Huawei parts and cell phone accessories.",,,N/A,N/A,604-500-3568,chris@canadiancellparts.com,N/A,"#15-1855 West 1st Ave, Vancouver, B.C. V6J 5B8, Canada",https://www.facebook.com/CanFixParts/,https://www.canfixparts.ca/,yes
Cell City Sarnia,"Cell City is in Mobile Phones, Mobile Accessories, Phone Repair business since last 20 years, offering the latest mobile phones and exciting accessories.",no,yes,N/A,N/A,519 541 0606,info@cellcitysarnia.com,N/A,"1380 London Rd Sarnia, Ontario N7S 1P7 Canada",N/A,https://www.cellcitysarnia.com/,yes
Cellco plus,"Cellco plus is one of the largest wholesale and distributor of mobile phones, accessories, and electronics.",yes,yes,Shubham Nautiyal,Quality Control Inspector,1(416)-848-0127,info@cellcoplus.com,https://www.linkedin.com/in/shubhamnautiyal04/,"232 Lesmill Rd, North York, ON M3B 2T5, Canada",https://www.facebook.com/cellcoplusca,https://cellcoplus.com/,yes
CellnTell Distribution Inc.,CellnTell is a leading wholesale cell phones supplier in Canada.,yes,no,Umar Warraich,CEO & Co-Founder,1-800-5555-268,partnerships@cellntell.com,https://www.linkedin.com/in/umar-warraich-b57bbb18/,"401 Traders Blvd East Unit #1 Mississauga, ON L4Z 2H8, Canada",https://www.facebook.com/CellnTell.Distribution.Inc/,https://www.cellntell.com/,yes
Cell Phone Parts Canada,"We specialize in the retail and wholesale of Cell Phone Parts, specializing in iPhone parts, Samsung Phone parts, and Blackberry Parts and HTC parts. Our team has a mission to distribute the quality Cell Phone Parts to repair shops across the country.",yes,no,Ahmed Mansoor,CEO/President,1-866-943-0111,cellpartscanada@gmail.com,https://www.linkedin.com/in/ahmed-mansoor-259a657/,"6200 Dixie RD, Unit # 101 Mississauga, ON L5T2E1 Canada",https://www.facebook.com/CellPhonePartsCanada1/,https://www.cellphonepartscanada.com/,yes
Cesium,"Since 2003, Cesium has grown into one of Canada’s main distributors of mobile accessories, wireless products, and consumer electronics.",no,yes,Vicken Kanadjian,Managing Director,1-877-798-8686,customercare@cesiumtelecom.com,https://www.linkedin.com/in/vickenkanadjian/,"5798 Ferrier, Montreal, QC H4P 1M7, Canada",N/A,https://shop.cesiumonline.com/,yes
CharmCell,"CharmCell is a rising wireless accessories importer/wholesale company, based in Greater Toronto Area (GTA).",yes,no,N/A,N/A,(905)415-8305,info@charmcell.com,N/A,"111 Esna Park Dr. Unit8, Markham, Ontario L3R 1H2, Canada",N/A,http://charmcell.com/,yes
Connects Wireless,"Connects Wireless is a Bell authorized dealer of cellular phones, equipment, accessories, connectivity and phone plans for both retail and corporate customers.",no,yes,Ian Tomlin,President,250-448-7359,kelowna@connectswireless.ca,https://www.linkedin.com/in/ian-tomlin-02691a28/,"129-1889 Springfield Road, Kelowna, BC, V1Y 5V5, USA",https://www.facebook.com/connectswireles/,https://connectswireless.ca/,yes
Encore Cellular Int'l Inc,"We are a company specialized in distribution of all kind of cell phone accessories, like data cables, travel chargers, bluetooth headsets, pouches, car chargers, cases and newly flash memory cards and mobile phones.",no,yes,Tahir Bajwa,CEO & President,1 888-992-0939,info@mydevia.ca,https://www.linkedin.com/in/tahir-bajwa-62422511/,"1325 Eglinton Ave E #219, Mississauga, ON L4W 4L9, Canada",N/A,https://www.encorewireless.ca/,yes
Esource Parts,Canada’s leading wholesale and retail supplier of mobile device parts and accessories.,yes,no,Frady Yacoub,President (owner),647-977-2049,sales@esourceparts.ca,https://www.linkedin.com/in/frady-yacoub-41a96948/,"401 Traders Blvd East, Unit 9 Mississauga, Ontario L4Z 2H8",https://www.facebook.com/Esourceparts/,https://www.esourceparts.ca/,yes
Evolucell Mobile,Evolucellpro is a Canadian distributor of premium mobile consumer electronic goods.,no,yes,Ofhir Dotan,Vice President,(450) 934-1109,N/A,https://www.linkedin.com/in/ofhir-dotan-48254b15b/,"1589 Desserte Nord Autoroute 440, Laval, Quebec, H7X 3L2, Canada",N/A,https://www.evolucellpro.com/,yes
Exporties,"Exporties is a supplier of high quality audio, video, mobile and CB accessories at the best possible price for its partners and customers with over 20 years of experience in the industry.",no,yes,Richer Robitaille,Founder,(450) 437-4709,info@exporties.com,https://www.linkedin.com/in/richer-robitaille/,"604 Rue de la Sablière, Bois-des-Filion, QC, Canada",https://www.facebook.com/exporties,https://exporties.com/,yes
Fleet Network Canada,Proud Canadian Distributor of Incipio.,no,yes,N/A,N/A,1 844 836-8268 ,sales@fleetnetwork.ca,N/A,"134 Rue Baby, Joliette, Quebec, J6E 2V5, Canada",https://www.facebook.com/FleetNetwork.ca/,https://fleetnetwork.ca/,yes
Future Gadgets,"Future Gadgets has been in the cellular phone industry since 1998. We have one of the largest brand name accessories including, Otterbox, Pelican, Griffin,  Puregear, Ballistic and many more. For cell phone chargers, we carry Apple and Samsung USB Wall adapters and data cables.",no,yes,Naiyer Rizvi,Owner,(905) 770-7331,naiyer_rizvi@hotmail.com,https://www.linkedin.com/in/naiyer-rizvi-44604337/,"670 Eglinton Ave W, Mississauga, ON L5R 3V2, Canada",N/A,https://futuregadgets.ca/,yes
GoKrazyWireless,"Here at GoKrazyWireless Canada, we provide wholesale cell phone parts, tablet parts at best quality and price, for guaranteed satisfied phone restoration.",yes,no,N/A,N/A,1 587-873-0303,support@gokrazywireless.ca,N/A,"8322 144 Ave NW, Edmonton, AB T5E 2H4, Canada",https://www.facebook.com/GKWcanada,https://gokrazywireless.ca/,yes
G-Zed Mobile Inc,Importer and Wholesaler of Mobile Phone and portable computing accessories,yes,no,N/A,N/A,1 514-804-6180,info@gzedmobile.com,N/A,"350 Louvain Street .West . B-45, Montreal, QC, Canada",https://www.facebook.com/Xpercell.ca/,http://gzedmobile.com/,yes
Hariom Traders ltd.,We Provide High Quality new and used Cellphone and Long lasting Cellphone Accesorries.,no,yes,Chirag Patel,Owner/Managing Director,1 647-657-0432,hariomtradersltd@gmail.com,N/A,"48 Pickard Ln, Brampton, Ontario L6Y 2M5, Canada",https://www.facebook.com/people/Hariom-Traders-LTD/100063478301229/,N/A,yes
Hawk Wireless Inc.,Cell Phone Parts Wholesaler and Repairs,yes,no,Faisal Ahmed,Chief Executive Officer,1 905-206-0252,info@hawkwireless.ca,https://www..linkedin.com/in/faisal-ahmed-885909181/,"Unit:12, 1200 Aerowood Drive, Mississauga, Ontario L4W 2S7, Canada",https://www.facebook.com/hawkwirelesscan/,https://www.hawkwireless.ca/,yes
Hi-Tech Electronics,"Hi-Tech Electronics is an electronics distributor located in GTA area wholesale across Canada. We carry refurbished computers (laptops and desktops), computer accessories, all model replacement laptop adaptors, mobile phone, cellphone accessories, chargers, cables, car dash cameras, bluetooth speaker, headset, security camera, installation and services for residential and commercial.",no,yes,N/A,N/A,1(905)470-0388,sales@hi-techelectronics.ca,N/A,"170 Esna Park Drive, Markham ON, L3R 1E3, Canada",N/A,https://hi-techelectronics.ca/,yes
Hitfar,"Hitfar is Canada’s Wholesale Distribution, Drop Shipping and Logistics leader for trusted brands in Tech, Health & Wellness, and Cellular products & accessories based in Burnaby, British Columbia.",yes,no,Scott Fargey,Director of Sales,(604) 873-8355,Scott.Fargey@hitfar.com,https://www.linkedin.com/in/scott-fargey-2b051557/,"109-2999 Underhill Ave., Burnaby, BC, V5A 3C2, Canada",http://www.facebook.com/Hitfar,https://www.hitfar.com/,yes
Holdsen International Ltd.,"Based in Toronto, Holdsen International Ltd. is a Canadian owned and operated factory direct electronics distributor since 2008. Our products include high quality AC adapters and laptop batteries, printer adapters, toner cartridges, portable power banks, Bluetooth devices, speakers, earphones, data cables, USB chargers, smart phone accessories, and other consumer electronics.",no,yes,N/A,N/A,905 604 2630,service@localexpress.ca,N/A,"7-7321 Victoria Park Avenue. Markham. Ontario,Canada",N/A,https://www.localexpress.ca/,yes
Importel Ltd.,"Importel Ltd. is a B2B distributor for the 12 volt installation, car audio and mobile electronics industries including marine, powersports and motorcycle.",no,yes,Kelly Holley,Director of Sales and Marketing,1 (800) 363-3413,sales@importel.com,https://www.linkedin.com/in/kelly-holley-b323275/,"1655 Flint Rd., North York, ON M3J 2W8, Canada",https://www.facebook.com/Importel/,https://www.importel.com/,yes
ITPartStore,"Online wholesaler of laptop and smartphone spare replacement service parts. Brands include Acer, Al",yes,no,Michael Ball,President,1 613-935-4500,mikeb@ITPartSource.com,https://www.linkedin.com/in/michael-ball-353292140/,"108 Second St W, Cornwall, ON K6H 5S7, Canada",https://www.facebook.com/ITPartStore,https://itpartstore.com/,yes
Joe Mobile Tech.,"We are a local supplier for quality Samsung, iPhone, LG, Sony and Nexus screens and parts.",yes,no,N/A,N/A,1 613-668-8168,joe@joeunlock.com,N/A,"780 Baseline Rd. Unit #22, Ottawa, ON, Ontario, Canada",http://www.facebook.com/joeunlock,http://www.joemobiletech.ca/wholesale/,yes
LCD SEN,"Based in Montreal, LCD SEN is a wholesale company specializing in LCD touch screens, windows, batteries and other small parts for cell phones and tablets from major brands (Apple, Samsung, LG, Sony, Blackberry, Motorola, etc.). With an experience of more than 20 years, LCD SEN has established itself as a reference in the field of telephony.",yes,no,N/A,N/A,514.548.0057,Sales@mtech.shop,N/A,"6042 Boulevard Metropolitain Est, Montreal Quebec, H1S 1A9, Canada",N/A,https://lcd-sen.com/,yes
LCDSwap Canada,LCDSWAP is the #1 Cell Phone Replacement Parts Distributor and Wholesale Supplier in the USA and Canada carrying over 9000 unique SKUs for Repair Parts..,yes,yes,N/A,N/A,N/A,info@lcdswap.com,N/A,"PO Box 53030, BP Extase PO, Dorval, QC H9S 5W4, Canada",N/A,https://lcdswap.com/,yes
Libratel Inc.,Libratel is a leading mobile accessory manufacturer and distributor across Canada.,no,yes,Peter Pejouyan,President,416-615-0700,support@libratel.com,https://www.linkedin.com/in/peter-pejouyan-1ab89241/,"23 Railside Unit 4, Toronto, Ontario, Canada, M3A1B2",https://www.facebook.com/Libratel,https://www.libratel.com/,yes
Mac Outpost,Mac Outpost is the premiere Authorized Apple Specialist (Apple Reseller) and Service Provider in London.,no,yes,N/A,N/A,519-645-763,info@macoutpost.com,N/A,"152 Wharncliffe Rd. S., London, ON N6J 2K6, Canada",https://www.facebook.com/people/Mac-Outpost-London/100057386840800/,https://macoutpost.com/l,yes
Marketcell,Wholesale Parts for Mobile Cellphone in Canada,yes,no,N/A,N/A,N/A,partslcdsen@gmail.com,N/A,Canada,https://www.facebook.com/people/Marketcell-Wholesale-Parts-for-Mobile-Cellphone-Canada/100063588701619/,https://www.marketcell.ca/,yes
Matrix Mobile Inc.,"MMP is the leading phone parts supplier. iPhone Parts, iPad Parts, Samsung Cell Phone Parts, and more.",yes,no,N/A,N/A,(204) 979-8059,hello@matrixmobile.ca,N/A,"701 Sterling Lyon Parkway, Winnipeg, MB R3P 2V1, Canada",https://www.facebook.com/MatrixMobileInc/,https://matrixmobile.ca/,yes
MK Mobile,MK Mobile is a leading Wholesaler of Phone/Tablet parts and accessories.,yes,no,N/A,N/A,1 514-273-6072,info@mkmobile.ca,N/A,"1302D Bélanger, Montreal QC, Canada H2G 1A1",https://www.facebook.com/MKmobile.ca,https://www.mkmobile.ca/,yes
Mobile Parts 247,Cellphone Repair Parts & Cellphone Wholesale Distributor,yes,no,N/A,N/A,1-416-546-8713,info@mobileparts247.com,N/A,"3497 Kennedy Road, Unit 1, Toronto ON M1V 4Y3, Canada",https://www.facebook.com/mobileparts247,https://www.mobileparts247.com/,yes
Mobile Q,"Mobile Q is your one-stop-shop for cell phone covers, cases, replacement batteries, chargers, and Bluetooth headsets precision-fitted to match all your phone needs along with computer & cell phone repair and the best brand name cell phone accessories, Mobile Q provides in-depth customer service to shed light on any questions or issues. We also offer a 100% satisfaction guarantee and free estimation on all our repair services.",no,yes,N/A,N/A,1 604-222-1111,admin@mobileq.ca,N/A,"Unit #102 12877 76th Avenue , Surrey, British Columbia V3W 1E6, Canada",https://www.facebook.com/Mobile-Q-Canada-110902041243163,https://www.mobileq.ca/,yes
Mobilesentrix Canada,"Mobilesentrix Canada is wholesaler and Supplier of Cell Phone Parts, iPhone Repair Parts, Samsung Mobile Replacement Parts.",yes,no,Gerald Dcosta,Operations Manager,1 (647) 317-3118,sales@mobilesentrix.ca,https://www.linkedin.com/in/gerald-dcosta-b0b73057/,"25 Planchet Road Unit 5, Concord Ontario L4K2C5, Canada",https://www.facebook.com/MobileSentrixCanada/,https://www.mobilesentrix.ca/,yes
Mobile Snap,"Since its inception in 2008, Mobile Snap has grown rapidly and has become one of the leading distributors of wireless phone accessories and electronic items in Canada. Mobile Snap offers a complete range of high-quality, modern and innovative products such as cases, batteries, pouches, chargers, hands-free devices and screen protectors for mobile phones.",no,yes,Mohamed Taboubi,Chief Executive Officer,(450) 681-0060,info@mobilesnap.ca,https://www.linkedin.com/in/mohamed-taboubi-b8423215a/,"4616 Rue Louis-B.-Mayer, Laval, QC H7P 6E4, Canada",https://www.facebook.com/mobilesnapcanada/,https://www.mobilesnap.ca/,yes
Mobile Tech Lab,Mobile Tech Lab is a Winnipeg based mobile device and mobile device accessories repair and retail business.,no,yes,Daniel Okagbare,Founder,1 204-808-9416,tuxedo@mobiletechlab.ca,https://www.linkedin.com/in/daniel-okagbare-b51531158/,"2020 Corydon Ave, Unit F, Winnipeg, MB R3P 0N2, Canada",http://facebook.com/mobiletechlab.ca,https://mobiletechlab.ca/,yes
Mobile Zap,"Mobile Zap is an online wholesale distributor of Cell phone Parts , Accessories and Used Smartphones and Tablets.",yes,no,Piyush Sawhney,Chief Executive Officer,(780) 244-6927,info@mobilezap.ca,https://www.linkedin.com/in/piyush-sawhney-827ba659/,"11211 180 St NW, Edmonton, AB T5S 0B4, Canada",N/A,https://mobilezap.ca/,yes
New Advance Wireless,"Wholesale distributor -Phones, parts and accessories.",yes,no,Irfan Malik,Business Owner,(416) 551-2964,newadvancewireless@gmail.com,https://ca.linkedin.com/in/irfan-malik-666193165/,"32 Rexdale Blvd, Etobicoke, ON. M9W 5Z3, Canada",N/A,http://newadvancewireless.ca/,yes
Nexus Cellular,"Nexus Cellular has established itself as a leading business-to-business distributor of Mobile Phones, Parts and Accessories.",no,yes,Irfan Bajwa,President & CEO,1-877-614-1001,irfan@nexuscellular.com,https://www.linkedin.com/in/irfan-bajwa-756b4a9/,"1090 Aerowood Dr., Unit #7 Mississauga, ON L4W 1Y5, Canada",https://www.facebook.com/nexuscellularofficial,https://nexuscellular.com/,yes
Nufix Canada Services Inc.,"Nufix Canada is a retailer and wholesaler of replacement parts for mobile phones, tablets and apple product since 2009. We are located in Montréal, QC and we ship anywhere in Canada.",yes,no,N/A,N/A,1 438 226-4169,sales@nufix.ca,N/A,"Montréal, QC, Canada",N/A,https://www.nufix.ca/,yes
OlegoXpress,OlegoXpress offers wholesale phone accessories to market in Canada & USA.,yes,no,N/A,N/A,1 855-956-5346,sales@olegoxpress.com,N/A,"2750 Pitfield Blvd, Montreal, Quebec, H4S 1G9, Canada",https://www.facebook.com/OlegoXpress,https://www.olegoxpress.com/,yes
Prime Communications Canada Inc.,"Prime Communications Canada Inc. is the largest authorized Rogers dealer in Canada, with over 50 Rogers and Fido retail locations and B2B services across the country.",no,yes,Alex Volonte,Business Account Manager,(604) 872-3436,alex.volonte@primecomms.ca,https://www.linkedin.com/in/alex-volonte-85b432a,"100 Via Renzo Dr, Richmond Hill, Ontario L4S 0B8, Canada",https://www.facebook.com/RogersDealer/,http://www.primecomms.ca/,yes
RS Distribution Inc.,"RS Shop is a proud Canadian wholesaler and distributor of consumer electronics, mobile accessories, cell phone signal boosters, security cameras, smart home and telecommunication products.",yes,yes,Benjamin Chen,President,204-807-2988,info@rsshop.ca,https://www.linkedin.com/in/benjamin-chen-8a6b2166/,"135 Paramount Rd, Winnipeg, MB R2X 2W6, Canada",https://www.facebook.com/RSShopCA/,https://rsshop.ca/,yes
S2B Distribution,"S2B Distribution was established in 2011 and is a growing Canadian distributor representing award winning and innovative brands from around the world.
Working closely with retailers including Apple Specialists and Resellers, national retail chains and other major stores who carry our brands, we’ve built great relationships and heard many business success stories over the years.",no,yes,Michael Chen,Sales Manager,(778) 318-5628,michael@simply2buy.com,https://www.linkedin.com/in/michael-chen-731ab29a/,"2133-20800 Westminster Hwy, BC, V6V 2W3, Canada",https://www.facebook.com/simply2buy/,https://www.facebook.com/simply2buy/,yes
Selfie Stick,"Selfie Stick is the manufacturer, distributor and seller of the original selfie stick.",no,yes,N/A,N/A,N/A,N/A,N/A,"Suite 424 - 576 Ontario Street, St. Catharines, Ontario L2N 4N7, Canada",https://www.facebook.com/people/Selfie-Stick/100069574644270/,http://shopselfiestick.com/,yes
Simply Computing,"Simply Computing is the largest independent Apple retailer in Canada with 80+ employees in 6 locations and 16 Express locations.
We offer the full line of Apple products, as well as a wide range of accessories, services, training, and Mac-based business solutions, and our knowledgeable and committed staff take pride in providing you with the best source of Apple product knowledge and service.",no,yes,N/A,N/A,1 877-714-1450,onlinesales@simply.ca,N/A,"203-1690 West Broadway, Vancouver BC V6J1X6, Canada",https://www.facebook.com/simplydotca,https://www.simply.ca/,yes
TM Electro,"TM Electro – Buy Mobile Phone Accessories Online in Canada, we are top wholesaler & retailer cell phone accessories supplier in Canada.",yes,no,N/A,N/A,905-449-3502,info@tmelectro.com,N/A,"Toronto, Canada",N/A,https://tmelectro.ca/,yes
TXParts Enterprise LLC,"No 1 source for best quality wholesale cell phones repair parts, iPhone 6 and Samsung Galaxy S7 repair parts & Accessories.",yes,no,N/A,N/A,832-324-9590,sales@txparts.com,N/A,"1150 Eglinton Ave East, Unit 102, Mississauga, L4W2M6, Canada",N/A,https://www.txpartscanada.ca/,yes
T&X Trading Inc. ,"T&X Trading Inc. is one of the largest cell phone, mobile, computer and electronics accessories distributors.",no,yes,N/A,N/A,1 450-465-5506,txtrading@hotmail.com,N/A,"8500 Boul. Taschereau, Unit 11, Brossard, Quebec, J4X 2T4, Canada",https://www.facebook.com/txtradinginc/,https://www.tanstartrade.com/,yes
Unlockr Parts,Unlockr Parts is a phone repair replacement parts wholesale supplier in Canada.,yes,no,Nathan Viens,Human Resources Manager,1-844-664-8388.,support@unlockr.ca,https://www.linkedin.com/in/nathan-viens-a95658159/,"Montréal, Quebec Canada",https://www.facebook.com/unlockr.ca/,https://unlockr.ca/,yes
Wireless Now Trading Inc.,"Originally established as the mobile distribution arm of high end mobile brands such as Samsung, Apple, BlackBerry and various others. Wireless now inc. has built an enviable reputation as a distributor of electronics over the years. ",no,yes,Junaid Siddiqui,Director,(416)-258-9488,junaid@wireless-now.com,https://www.linkedin.com/in/junaid-siddiqui-39690a91,"2 County Court Blvd, Brampton, Ontario, L6W 3W8, Canada",N/A,http://www.wireless-now.com/,yes
Wireless Source Link,"We are cell phone accessories importers, traders and dealers. ",no,yes,Salman Habib,Director,1 905-624-6466,salman@wirelesssourcelink.com,https://www.linkedin.com/in/salman-habib-6898b557/,"5266 General Rd, Mississauga, ON L4W 1Z8, Canada",https://www.facebook.com/wirelesssourcelink/,https://www.wirelesssourcelink.com/,yes
Wireless Warehouse,"Since 2004, Wireless Warehouse has been a proud direct importer and distributor of Wireless Phones, Phone Parts, Accessories, and Tools.",no,yes,N/A,N/A,(519) 566-1553,info@wirelesswarehousewholesale.ca,N/A,"310 Hanna St. E, Windsor, ON, N8X 4W6, Canada",https://www.facebook.com/wirelesswarehousewholesale/,https://www.wirelesswarehousewholesale.ca/,yes
Wireless Xplosion Ltd,"Wireless Xplosion Ltd, is a largest wholesale distributor of mobile phones & accessories. We distribute the latest phone cases, chargers, mounts & tempered glasses.",no,yes,Zubayer Hasan,CFO,416-291-2300,sales@wirelessxplosion.ca,https://www.linkedin.com/in/zubayer-hasan-9a145411a/,"32 Howden Rd, Unit 1 Toronto, ON M1R 3E4 Canada",N/A,https://www.wirelessxplosion.ca/,yes
Wplus,Wplus is a wholesale vendor of mobile phones and accessories.,yes,no,N/A,N/A,1 905-479-4000,sam@wplus.ca,N/A,"111 Esna Park Dr #3, Markham, ON L3R 1H2, Canada",N/A,https://www.wplus.ca/,yes
Xcel Source Corp,"Based in Mississauga, Ontario,
 Xcel Source is a privately held Canadian distributor specializing in digital lifestyle accessories for cellular devices, tablets, PC’s and Macs, as well as software.",no,yes,Helen Koutsogiannopoulos,President,1-877-612-8030,helen@xcelsource.com,https://www.linkedin.com/in/helen-koutsogiannopoulos-8ba4427/,"4190 Sladeview Cres. Unit 1 Mississauga, Ontario, L5L 0A1, Canada",https://www.facebook.com/Xcel-Source-Corp-1570506469873383/,https://www.xcelsource.com/,yes
XpressTronics Inc.,XpressTronics is the top wholesale cell phone accessories supplier in Canada.,yes,no,N/A,N/A,1 (877) 564 4788,info@xpresstronics.ca,N/A,"1694 Eglington Ave W, York, ON M6E 2H5 Canada",https://www.facebook.com/xpresstronics.ca/,https://www.xpresstronics.ca/,yes
"BTC Wholesale Distributors, Inc.",Distributors of Cellular Accessories.,no,yes,N/A,N/A,1-800-443-4128,sales@btcwholesale.com,N/A,"100 Airview Lane, Alabaster, AL 35007, USA",N/A,https://www.btcwholesale.com/,yes
AK Phone Repair,Cell Phone Store in Anchorage,yes,no,N/A,N/A,(907) 360-9005,N/A,N/A,"3020 Minnesota Drive #22 Anchorage, AK 99503, USA",N/A,https://www.yelp.com/biz_redir?url=https%3A%2F%2Fak-phone-repair.business.site&cachebuster=1672879051&website_link_type=website&src_bizid=ogLKELB5i7bGUoPBUtJKRg&s=fd1a52644163ccc9cc79a8fd25ef5916315febf69a7ddd822fca4abba24cc33a,yes
Cricket Wireless Authorized Retailer,"Mobile Phones, Mobile Phones Accessories in Alaska",no,yes,N/A,N/A,N/A,N/A,N/A,"800 E Dimond Blvd Suite 165, Anchorage, AK 99515, United States",https://www.facebook.com/cricketwireless,https://www.cricketwireless.com/,yes
For My Cell,"At For My Cell, our goal is clear: to be the best Cell Phone Accessories & Repair Store in the Mat-Su Valley.",no,yes,Helena Wierzbicki,Owner,(907) 357-7464,4mycell@gmail.com,N/A,"617 S Knik-Goose Bay Rd B, Wasilla, AK 99654, USA",https://www.facebook.com/ForMyCell/,https://www.formycell.net/,yes
Nutz Gadget,Wholesalers in Alaska,yes,no,N/A,N/A,(907) 717-6058,N/A,N/A,"601 E Northern Lights Blvd Ste M Anchorage, AK 99503, USA",N/A,https://nutzgadget.us,yes
Target Mobile,"Cell phone & Accessories store in Anchorage, Alaska",no,yes,N/A,N/A,1 907-269-2100,N/A,N/A,"150 W 100th Ave STE A, Anchorage, AK 99515, United States",N/A,https://www.target.com/c/electronics-cell-phones/-/N-5xte8,yes
