storeName,email,phoneNumber,city,website,facebookPage,country,phones
Nabil  phone,,+213 550 88 16 16,"elhamiz City  stade , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100080170312513,algeria,yes
Adel Phone,,+213 799 55 51 75,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063860717647,algeria,yes
Mohamed Phone,,+213 675 39 55 19,"Djezzar, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100086678119534,algeria,yes
Brothers' Phone,smy1990happy@gmail.com,,"reghaia, Reghaia, Algeria",twitter.com/HiouSamou,https://www.facebook.com/SamouTaste,algeria,yes
Athmane phone,,+213 542 16 58 11,"Alger Belfort, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100076216148017,algeria,yes
Zaki phone,zakikiko031@gmail.com,+213 783 77 40 65,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100077024380403,algeria,yes
KABA Phone DZ,seffakbilal@gmail.com,+213 557 69 21 11,"Mohamed belouizdad , Algiers, Algeria",fb.me/BillyPhonedz,https://www.facebook.com/BillyPhonedz,algeria,yes
Yacine phone,,+213 559 89 04 27,"Douéra, Algeria",,https://www.facebook.com/profile.php?id=100068493467231,algeria,yes
MY phone,,+213 657 97 96 60,"Alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100087096593767,algeria,yes
Pro phone,,+213 541 11 00 29,"Pro phone , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100091209595531,algeria,yes
RAYEN PHONE,,+213 553 30 82 53,"alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100076202172435,algeria,yes
Park phone,,+213 672 02 69 86,"Algiers, Algeria",,https://www.facebook.com/shrewsbury16,algeria,yes
Abdou - phone,abdouhariti588@gmail.com,+213 542 47 53 71,M3W6+3XW Djasr Kasentina,,https://www.facebook.com/profile.php?id=100083257841462,algeria,yes
hamza_phone,,+213 552 97 14 22,"zouaoua , Chéraga, Algeria",,https://www.facebook.com/profile.php?id=100094162472338,algeria,yes
Baya phone,,+213 781 51 97 34,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083181047985,algeria,yes
Dubai PHONE Pack service,,+213 776 99 24 88,"Belfort , Algiers, Algeria",,https://www.facebook.com/ABDELLAHPH0NE,algeria,yes
Sky Phone Dz,Dzskyphone@gmail.com,+213 540 74 39 11,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100050297057420,algeria,yes
Anis phone,anisaas1@gmail.com,+213 668 59 49 55,"batna, Algiers, Algeria",,https://www.facebook.com/algertounismarocco,algeria,yes
Rachid phone,bilal.haif3@gmail.com,+213 540 68 89 82,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083567042559,algeria,yes
Vel3id Phone,vel3id.phone@gmail.com,+213 550 17 27 92,"Belfort, El Harrach, Algeria",,https://www.facebook.com/Vel3idPhone,algeria,yes
GH Phone,,+213 555 64 83 23,"Algiers, Algeria",,https://www.facebook.com/ghPhone16,algeria,yes
Aladin Phone,,+213 558 95 66 65,Rue Amir abd El kader N 06,g.co/kgs/XUoQMo,https://www.facebook.com/profile.php?id=100063775291666,algeria,yes
Oussama phone,Oussamaphone881@gmail.com,+213 698 60 23 55,"APC les eucalyptus Algiers, Algeria, Les Eucalyptus, Algeria",instagram.com/oussamaa_phone?utm_medium=copy_link,https://www.facebook.com/profile.php?id=100071782441771,algeria,yes
Zazâ Phone,,+213 557 36 74 34,"Algiers, Algeria",,https://www.facebook.com/Zaza.phone28,algeria,yes
Marina Phone,marinaphonetenes@gmail.com,+213 662 07 37 55,"Rue de Ténès, الجزائر, الجزائر, Algiers, Algeria",,https://www.facebook.com/MarinaPhonetenes,algeria,yes
TOP PHONE,Badro8894@gmail.com,+213 781 31 62 91,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100076431343680,algeria,yes
KING PHONE,kingdomkkids@gmail.com,+213 540 71 16 20,"Algiers, Algeria",,https://www.facebook.com/Kingphone4,algeria,yes
ELMorchid Phone,,+213 776 84 00 06,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100064046859789,algeria,yes
Fréres phone,,+213 551 75 70 70,"boudjemaa temime 1 draria, Draria, Algeria",,https://www.facebook.com/profile.php?id=100084735995537,algeria,yes
Hard Phone,,+213 562 63 27 20,"CENTRE COMMERCIAL EL MOHAMADIA M �, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063770912049,algeria,yes
Sultan phone,,+213 555 36 08 87,"Algiers, Algeria",,https://www.facebook.com/sltnphn,algeria,yes
Empire PHONE,imadeddinebenghezal75@gmail.com,+213 556 96 24 34,"Algiers, Algeria",,https://www.facebook.com/empirephoone,algeria,yes
Mirou Phone,Mirouphone@yahoo.fr,+213 550 51 50 14,"11 RUE ALI MADDOUCHE HUSSEIN DEY ALGER , Algiers, Algeria",,https://www.facebook.com/mirouphonedz,algeria,yes
Moh phone,,,"الجزائر , Algiers, Algeria",,https://www.facebook.com/Rotana.Rob,algeria,yes
Digital Phone Computer,Digital.phone.computer@gmail.com,+213 550 66 41 43,"Amara cheraga alger , Chéraga, Algeria",,https://www.facebook.com/profile.php?id=100054401235395,algeria,yes
KADRI PHONE,,+213 36 63 21 93,"setif, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100076109970475,algeria,yes
Bab El Phone Dz,babelphonedz@gmail.com,+213 553 23 12 43,"Tixeraïne, Algeria",,https://www.facebook.com/babelphonedz,algeria,yes
MDL PHONE  (Phone et accessoire),,+213 556 59 07 87,"Algiers, Algeria",,https://www.facebook.com/amadi22,algeria,yes
MK Phone,,+213 552 47 81 37,"El Harrach, Algeria",,https://www.facebook.com/profile.php?id=100064992394165,algeria,yes
KABA UK PHONE,Kabauk@outlook.fr,+213 561 12 39 91,"Algiers, Algeria",ouedkniss.com/store/?id=2914,https://www.facebook.com/KABAUKPHONE1,algeria,yes
Rabah phone Dz,,+213 555 43 00 99,"Algiers, Algeria",ouedkniss.com/store/?id=9636,https://www.facebook.com/rabahphonesi,algeria,yes
Bilal phone 2,bilalboumahraz86@hotmail.com,+213 771 98 98 78,"Bab El Oued, Algeria",,https://www.facebook.com/profile.php?id=100070086879392,algeria,yes
STAN PHONE DZ,,+213 558 21 76 31,"Algiers, Algeria",· See original  · Rate this translation,https://www.facebook.com/profile.php?id=100064493570910,algeria,yes
Djamel Luxe Phone 38,,+213 550 87 04 86,"Tissmesilt Ville, Hai Wiaam, Algiers, Algeria",,https://www.facebook.com/DjamelPhone38,algeria,yes
Adlene Phone & Tech,,+213 557 92 08 04,"Rais Hammidou (la pointe pescade ), Algiers, Algeria",,https://www.facebook.com/profile.php?id=100039524453191,algeria,yes
houma__phone,issamdib461@gmail.com,+213 561 71 00 36,"Ruisseau, Algeria",,https://www.facebook.com/profile.php?id=100067619830705,algeria,yes
Calvaire phone kouba,calvairephone@gmail.com,+213 557 60 40 59,"Kouba, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100031897071881,algeria,yes
SidiYahia Phone,sidiyahiaphone@gmail.com,+213 556 63 00 10,"Tour Sidi Yahia local N*15 hydra, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100067383589227,algeria,yes
Phone Charger Holder,contact@mp-holder.com,+213 782 93 72 12,"Ain Nadja, Algiers, Algeria",mp-holder.com,https://www.facebook.com/profile.php?id=100077431933599,algeria,yes
S.M.S PHONE,cyberorange.info@gmail.com,+213 675 01 75 05,"Algiers, Algeria",,https://www.facebook.com/Mobdiaa,algeria,yes
Phone_luxury_dz,,+213 540 52 31 03,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100085567433978,algeria,yes
Micho_phone,adjroudmamich8@gmail.com,,"bni msous alger , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100093231516544,algeria,yes
Drime phone_dz,,+213 772 55 56 28,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=61550639970421,algeria,yes
Malek phone,,+213 661 55 10 77,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063552008125,algeria,yes
DaaliPhone,daaliphone2020@gmail.com,,"alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100066633981490,algeria,yes
Mk_phone_official_,Mkhwmail@gmail.com,+213 541 75 06 16,"Cité Freri 02 El Hamiz, Alger 
 , El Hamiz, Algeria",,https://www.facebook.com/mk.offx,algeria,yes
Time phone,,+213 771 95 70 32,"aki, Algeria",,https://www.facebook.com/profile.php?id=100064103952636,algeria,yes
Sadjed-Phone,,+213 697 25 05 88,"Algiers, Algeria",wa.me/c/213697250588,https://www.facebook.com/profile.php?id=100089688353394,algeria,yes
Sofiane phone,,+213 770 71 92 02,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100078810853903,algeria,yes
miyou phone,hamdi16@outlok.com,,"1040  douira, Algiers, Algeria",,https://www.facebook.com/profile.php?id=61555421605053,algeria,yes
SponerPhone,,+213 552 72 30 24,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100095492775584,algeria,yes
MDN Phone,,+213 540 23 73 62,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100057121373533,algeria,yes
Rachid phone,,+213 770 95 99 76,"Mahdia , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100085168849937,algeria,yes
Amin phone,,+213 660 38 10 66,"Alger , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100069102252299,algeria,yes
Komatchi phone,,+213 541 89 13 93,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100070186725679,algeria,yes
CR Phone,,+213 559 24 31 80,"Draria, Draria, Algeria",,https://www.facebook.com/profile.php?id=100072560345098,algeria,yes
Friends Phone,,+213 553 85 35 38,"Chéraga, Algeria",,https://www.facebook.com/profile.php?id=100068908976017,algeria,yes
Dely phone 2,,+213 660 24 90 15,"23rue ahmed ouaked, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100052388629971,algeria,yes
PhoneCity Enligne,Phonecity-s@outlook.com,+213 560 61 35 59,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100066352375086,algeria,yes
Phone Supplies Online,doudiagdi@gmail.com,+213 778 80 24 39,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083962161229,algeria,yes
Accessories phone shop,Accessoriesphoneshop0@gmail.com,,"Zeralda, Algiers, Algeria",accessoriesphoneshop.company.site,https://www.facebook.com/accessoriesphoneshop7,algeria,yes
My_phone’ax,gardenphonax@gmail.com,,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083133432311,algeria,yes
Hermanos_phone,Ahmedberghout1234@gmail.com,+213 781 35 45 89,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100067425394173,algeria,yes
Phone Store Dz,,,"Alger Plage, Algeria · Jijel, Algeria",instagram.com/phone_store_dz_?r=nametag,https://www.facebook.com/PhoneStoreD,algeria,yes
Didou.new phone,,+213 549 28 78 94,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100076388552267,algeria,yes
USA phone,bentahar.walid86@gmail.com,+213 552 38 39 87,"Chéraga, Algeria",,https://www.facebook.com/profile.php?id=100083770597077,algeria,yes
AM Phone,aminekhelfa41@gmail.com,+213 561 95 94 61,"reghaia alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100090584978801,algeria,yes
Cover phone,,+213 773 64 19 57,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100084669873579,algeria,yes
Younes phone,nes877683@gmail.com,+213 561 83 05 87,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=61550829296815,algeria,yes
ZedN Phone,zinoukawa@gmail.com,+33 7 92 52 75 93,"aki, Algeria",,https://www.facebook.com/profile.php?id=100087317567760,algeria,yes
Houssem phone,,+213 775 38 28 11,"Algiers, Algeria",,https://www.facebook.com/Achour10.GSM,algeria,yes
Rkm phone,,+213 776 97 10 95,"Algiers, Algeria",,https://www.facebook.com/rkmphone,algeria,yes
Phone Caba,amamiche90@gmail.com,+213 663 06 19 10,"Vieux Kouba, Algeria",,https://www.facebook.com/profile.php?id=100063740032234,algeria,yes
HN Phone DZ,hnphone2000@gmail.com,+213 656 41 90 68,"https://maps.app.goo.gl/neKtYWCk3CPKLifu6, aki, Algeria",,https://www.facebook.com/profile.php?id=100075904522759,algeria,yes
Billel phone,elhabbasb@gmail.com,+213 554 87 07 32,"Bazar Belfort, El Harrach, Algeria",,https://www.facebook.com/profile.php?id=100065081289250,algeria,yes
TipazeinPhone,,+213 697 56 42 53,"Algiers, Algeria",,https://www.facebook.com/TipazeinPhoneStore,algeria,yes
PHONE PLUS PP+,,+213 549 70 80 76,"aki, Algiers, Algeria",,https://www.facebook.com/wilyfood,algeria,yes
Moudire phone,karimkarimkarim145@gmail.com,+213 774 53 10 70,"فرجيوة طريق المحطة الشرقية , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083596622891,algeria,yes
Yaacoub phone,,+213 671 19 42 06,"شارع محمد بلوزداد الجزائر 


, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100067373657090,algeria,yes
Phone Shop,mboussendel@gmail.com,+213 550 30 03 01,"Bzar PLAZA N07 Belfort Elharrach , Algiers, Algeria",howtogsm.com,https://www.facebook.com/Moustaphone,algeria,yes
Nzf phone's doc,nazef.amine1996@gmail.com,+213 660 82 94 65,"aki, Algeria",,https://www.facebook.com/AmineNazef,algeria,yes
AZZA phone,Cinestalaviesta@gmail.com,+213 773 00 92 95,Cité signa Reghaïa,,https://www.facebook.com/profile.php?id=100063927739336,algeria,yes
TS.Phone,touatsamir7@gmail.com,+213 553 44 56 38,"Ouaguenoun, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100075856704944,algeria,yes
Nounou Phone,,+213 553 50 76 26,"Belfort , El Harrach, Algeria",,https://www.facebook.com/profile.php?id=100079641306238,algeria,yes
MedPhone,fortimebez@gmail.com,+213 550 14 12 94,"Algiers, Algeria",,https://www.facebook.com/fortimephone,algeria,yes
Hamza.Phone,zerroukiyasser713@gmail.com,+213 540 75 29 50,"cite Rais , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100088716322411,algeria,yes
LOTFI PHONE,lotfiphone789@gmail.com,+213 772 61 73 15,"Alger , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100088184979536,algeria,yes
Didou phone store,abdoh8949@gmail.com,+213 540 41 52 70,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100088111023962,algeria,yes
Boutnache phone,,+672 3 21399,"Bazar el Qouds Belfort Alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=61559248714492,algeria,yes
Redouane phone,,+213 555 66 42 45,"Alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100092496078521,algeria,yes
Nassim phone,naasimmanel99@gmail.com,+213 774 45 47 57,"El Madania, Algeria",,https://www.facebook.com/profile.php?id=100067621244129,algeria,yes
ANIS PHONE,anishachmaoui@gmail.com,+213 660 24 74 16,"Algiers, Algeria",,https://www.facebook.com/hachmaouiii,algeria,yes
Phone plus Dz,,+213 676 88 16 21,"Algérie , Algiers, Algeria",,https://www.facebook.com/profile.php?id=61556743910476,algeria,yes
AB Phone,,+213 550 23 37 74,"aissat idir , en face résidence al djazi Chéraga, Algiers, Algeria",,https://www.facebook.com/MaBoutiquemen,algeria,yes
RACHA PHONE,aoudiajsk75@gmail.com,+213 562 47 71 29,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063785013521,algeria,yes
Nassim Phone,mk_phones@hotmail.com,+213 675 73 30 49,"Algiers, Algeria",,https://www.facebook.com/nassimphones,algeria,yes
Ferras Phone,ferrasphone@gmail.com,+213 697 72 80 10,"Algiers, Algeria",,https://www.facebook.com/Ferras.Phone,algeria,yes
Dina Phone,,+213 551 18 91 38,"Rue Cheikh Bouamama,Bazar Phone,belfort,El Harrache, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100065002239294,algeria,yes
Bily Phone,,+213 553 18 94 62,"Kouba, Algeria · Birkhadem, Algeria",ouedkniss.com/store/?id=5211,https://www.facebook.com/bilyphone,algeria,yes
Royaume phone,,+213 552 15 35 70,"belfort, Algiers, Algeria",,https://www.facebook.com/royaumephonealgerie,algeria,yes
Labo Phone Dz,labophonedz16@gmail.com,+213 542 93 51 15,"Centre commercial El Mohamadia M , RN°24, Mohamadia , Alger , Algiers, Algeria",,https://www.facebook.com/LaboPhonealgerie,algeria,yes
Kcs phone,,+213 775 83 39 73,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100064303950649,algeria,yes
Power Phone Belfort بيع اكسسوارات الهواتف,powerphone0123@gmail.com,+213 562 35 15 50,"cité Blefort , Algiers, Algeria",powerphone.com,https://www.facebook.com/profile.php?id=100063497921664,algeria,yes
بيع الهواتف النقاله بالجمله وتجزئه HK phone,,+213 781 35 60 17,"Bordj el bahri, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100090293132013,algeria,yes
NINOU phone,melinamoha12@gmail.com,+213 562 79 04 69,"Alger beb loued, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100092413763799,algeria,yes
Réparation rapide smphone iPhone,redouane@hawamail.com,+213 556 09 90 00,"reghaia ville, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063453737687,algeria,yes
Kam’s phone,Kamelamiri090@gmail.com,+213 771 92 70 86,"Bachdjarah, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100093529013907,algeria,yes
Accessoire phone dz,Hamzaayoub199619@gmail.com,+213 770 10 21 69,"El Harrach Alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=61556357180196,algeria,yes
Les frère phone,mustaphanounou911@gmail.com,+213 551 64 35 88,"Rue Boujamaa Tamime Draria, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100088108494653,algeria,yes
"Go phone ""cheraga""",Mohameddjeddou06@gmail.com,+213 557 76 94 86,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100089961160833,algeria,yes
Phone-mounir,,+213 553 00 38 77,"alger, Algiers, Algeria",iphone-mounir.shop,https://www.facebook.com/profile.php?id=100088510385378,algeria,yes
PhoneTechDz,,+213 665 36 98 75,"Djalfa, Algiers, Algeria",phonetechdz.com,https://www.facebook.com/profile.php?id=100068190590600,algeria,yes
Phone By Dz 2,,+213 555 85 71 34,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100085617656191,algeria,yes
Walid Belfort Phone,,+213 550 66 97 70,"El Harrach, Algeria",,https://www.facebook.com/profile.php?id=100063502541507,algeria,yes
Osama Phone,Monaweb72@gmail.com,+213 770 14 05 72,"Alger , Algiers, Algeria",,https://www.facebook.com/profile.php?id=61554898615357,algeria,yes
Riad phone,,+213 776 47 02 53,"Rue n24, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100089062362407,algeria,yes
Kader phone Belfort,,+213 798 99 79 79,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100064006271701,algeria,yes
Best Phone 16,rkhaldaoui@gmail.com,+213 540 31 25 70,"Bab Ezzouar, Algiers, Algeria",,https://www.facebook.com/profile.php?id=61557560348312,algeria,yes
Phone eco,,+213 551 85 86 47,"Alg, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100078190041634,algeria,yes
nassim_phone2,nassim.nsm@icloud.com,+213 549 48 53 99,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063696625347,algeria,yes
ayen phone,,+33 7 74 33 12 80,"belfort , El Harrach, Algeria",,https://www.facebook.com/profile.php?id=61558007302014,algeria,yes
Méga phone,,+213 551 26 30 90,"Algiers Province · Beni Messous, Algeria",,https://www.facebook.com/profile.php?id=100063587095439,algeria,yes
MZ PHONE,MZphone.dz@gmail.com,+213 664 38 50 14,"Algiers, Algeria",,https://www.facebook.com/Maziphone,algeria,yes
Yahia phone,,+213 797 15 76 51,"Tessala El Merdja, Algeria",,https://www.facebook.com/profile.php?id=100063455443197,algeria,yes
Yaya phone,smailyaya1992@gmail.com,+213 778 65 66 39,"birtouta   بيرتوتة , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063489127435,algeria,yes
Max PHONE Rouiba,ammar.badrou@gmail.com,+213 792 99 16 19,"rue larbi Khaled rouiba alger, Algiers, Algeria",,https://www.facebook.com/MAXPHONE16,algeria,yes
