storeName,city,phoneNumber,website,facebookPage,email,country,phones
Niazi Mobile Center,"G65F+RRR, Kabol, Afghanistan",+93 76 726 8186,,https://www.google.com/maps/?cid=13062845662621327529,,afghanistan,yes
Prime Phone,"Office# D132-134, 4th floor, Gulbahar center, Afghanistan",+93 76 410 0100,prime-phone.com,https://www.google.com/maps/?cid=4264041210829091954,,afghanistan,yes
پاساژ برادران احمدی,"چهاراه حاجی نوروز، Kabul, Afghanistan",+93 77 519 6941,,https://www.google.com/maps/?cid=12287014575438625315,,afghanistan,yes
Barakzai Mobile Zone,"Daudzai Business Center Shop No.(G117-G118) (L-273 L- 274 Malik Asghar Square Foreign Ministry Road, Afghanistan",+93 78 411 1005,,https://www.facebook.com/Barakzai.mobile.zone.business/,,afghanistan,yes
شرکت تجارتی جی ایس ایم,"G58J+7MC, Kabul, Afghanistan",+93 78 631 6587,www.gsmproduct.com,https://www.facebook.com/gsmproduct,,afghanistan,yes
Shafiq Safi Mobiles & Software & Accessories,"G88F+Q5J, Kabul, Afghanistan",+93 79 196 4494,shafiq-safi-mobiles-software-accessories.business.site,https://www.google.com/maps/?cid=13763817736029585200,,afghanistan,yes
Diamond Mobile دایمند موبایل,"H58F+7PR, Kabul, Afghanistan",+93 79 933 0400,,https://www.google.com/maps/?cid=1574812365740594869,,afghanistan,yes
Shafiq Mobile شفیق موبایل,"H4MX+V66, Kabol, Afghanistan",+93 74 880 5050,,https://www.google.com/maps/?cid=2452107185241583446,,afghanistan,yes
Mujtaba Mobile Store,"Kariz Rd, Kabul, Afghanistan",+93 78 479 7080,,https://www.google.com/maps/?cid=8289727250834158028,,afghanistan,yes
Unique Mobile Zone,"G5HF+F2X, Zargona Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=5391490054740624619,,afghanistan,yes
Nasle Jawan Technology,"Gulbahar Center Shop No # D-78 kabul, 1001, Afghanistan",+93 78 760 2602,,https://www.cybo.com/r/biz/web?urlbname=nasle-jawan-technology&%3Biso=AF&%3Bsocial_tag=gmaps&dt=2024-07-16&hh=b0042043aa310a125fe1efc6eeb227bfa1a35d12ccdfb93e800ba161d43e1c0f,,afghanistan,yes
Tak ta Mobile,"Mobile Market, Kabul, Afghanistan",+93 79 928 9289,,https://www.google.com/maps/?cid=5821296726408336942,,afghanistan,yes
Mawla Ali Mobile موبایل فروشی مولا علی,"G5J9+H45, Kabul, Afghanistan",+93 40 565 6100,,https://www.google.com/maps/?cid=12129582483071092990,,afghanistan,yes
برادران موبایل,"Kabul, Afghanistan",+93 77 878 7522,,https://www.google.com/maps/?cid=8702296970224905652,,afghanistan,yes
مبایل فروشی احمدشاه,"G479+492, Kabul Main Bus Stop, Pul-e-Sukhta Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=15245361354404303356,,afghanistan,yes
Mashal Mobile Zone - مشعل موبایل زون,"F4RX+RGH, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=15286216003564038295,,afghanistan,yes
فروشگاه موبایل رحمانی,"Kabul, Afghanistan",,,https://www.google.com/maps/?cid=5993692105407956589,,afghanistan,yes
Naqib ullah photo copy,"F6X4+G8X, Esteolal Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=15676944253963213360,,afghanistan,yes
Tamadon market مارکیت تمدن,"G3G4+8W7, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=17862652645339083205,,afghanistan,yes
Bashir Gulzar moblie store,"H48C+5V9, Kabol, Afghanistan",,,https://www.google.com/maps/?cid=5710303913142251800,,afghanistan,yes
Khpalwak Mobile,"F4XM+RM4, Pul-e-Surkh Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=18068113802809580298,,afghanistan,yes
Hashmat Brotheran Trade Ltd,"H4HM+G68, Kabol, Afghanistan",,,https://www.google.com/maps/?cid=10859158657425984496,,afghanistan,yes
Arab Bussniss Center مرکز تجارتی اکبر عرب,"no 314, 315, Pashtoon market 3rd floor shop, Kabul 1058, Afghanistan",+93 77 888 8864,,https://www.google.com/maps/?cid=13317023550276845937,,afghanistan,yes
Tasal Mobile,"G479+3C7, Kabul Main Bus Stop, Pul-e-Sukhta Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=3272303972903992809,,afghanistan,yes
نمایندگی رسمی شرکت هلال,"G3G4+9W7, Kabul, Afghanistan",+93 79 843 0005,,https://www.google.com/maps/?cid=15234728835646923182,,afghanistan,yes
Noori Mobile,"H542+M8G, Taimani Project Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=15816797536643147471,,afghanistan,yes
موبایل فروشی غرب کابل,"G32H+MR5, کابل،, Afghanistan",+93 79 421 6200,,https://www.google.com/maps/?cid=1584996471306753992,,afghanistan,yes
United Mobile Selling,"G66G+494, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=16220669430974903128,,afghanistan,yes
Soutalbadar/saleh,"Jada Ali mardan, Kabul 1001, Afghanistan",+93 79 757 7001,,https://www.google.com/maps/?cid=10171630996473161273,,afghanistan,yes
فراسو موبایل,"F3XF+XH5, Kabul, Afghanistan",+93 79 933 0332,,https://www.google.com/maps/?cid=9233772588606409583,,afghanistan,yes
Al Muqaddas,"Mosaq Street Kabul Afghanistan, 1001, Afghanistan",+93 78 113 3374,,https://www.google.com/maps/?cid=5473736997678772674,,afghanistan,yes
فروشگاه موبایل ارتباط,"F3X9+X6W, Nan Wayi Bus Stop, Kabul, Afghanistan",+93 74 555 7555,,https://www.google.com/maps/?cid=2116973023007374369,,afghanistan,yes
Zargey Mobile,"G88F+M2G, کابل, Afghanistan",,,https://www.google.com/maps/?cid=11784586018254329533,,afghanistan,yes
پاينده مارکیټ,"Mobile Market, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=6563672128799279966,,afghanistan,yes
سادات موبایل,"F3MH+8M, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=15760881685956795494,,afghanistan,yes
Rohullah Daudzai’ Phonestore,"4 1 Kabul, 1001, Afghanistan",+93 78 559 8722,,https://www.google.com/maps/?cid=11306417122379141110,,afghanistan,yes
ترمیم گاه و فروشگاه موبایل چمران,"Shaheed Mazari Rd, Kabul 1006, Afghanistan",+93 79 019 9514,,https://www.google.com/maps/?cid=7834244604909147425,,afghanistan,yes
Maher mobil,"F4MM+RFF, Kabul, Afghanistan",+93 78 627 0474,,https://www.google.com/maps/?cid=4372504370042192584,,afghanistan,yes
فروشگاه مبایل برادران,"H5X8+563, Unnamed Road, Kabul, Afghanistan",+93 78 850 9754,,https://www.google.com/maps/?cid=4005225858244630037,,afghanistan,yes
حسینی موبایل,"G32G+82R, Tang-e-tel, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=5406482026462516408,,afghanistan,yes
فروشگاه و تعمیر گاه موبایل مشعل,"G32Q+V97 Shafa Khana Bus Stop, Shaheed Mazari Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=8771146111409891195,,afghanistan,yes
MobileMall,"Kart-e-3, Pul Surkh Square, 3rd District Kabul, 1001, Afghanistan",+93 70 014 7714,,https://www.google.com/maps/?cid=3934239627519916470,,afghanistan,yes
Bashir Gulzar,"H4FF+R7F, Kabol, Afghanistan",,,https://www.google.com/maps/?cid=8393398359666229521,,afghanistan,yes
Sahil mobile zone,"G9W6+F24, Pole Charkhi Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=16951787993050057268,,afghanistan,yes
موبایل فروشی مجتبی,"G42F+5PC, Kariz Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=6181614951236919219,,afghanistan,yes
موبايل فروشی احمدزی,"F5F3+C7W, Chil situn Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=13687375387910383257,,afghanistan,yes
الیاس موبایل,"F5H5+RVW, Naw Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=14694620739063182315,,afghanistan,yes
Smart mobile,Shar-E-Now Torobuth Khan,+93 79 932 9090,,https://www.facebook.com/174369722763607/,,afghanistan,yes
Roshan,Shop St #13 off Main St Wazir Akbar Khan,+93 79 997 1333,www.roshan.af,https://foursquare.com/v/roshan/4ee5cd620e011d52476a59d9,,afghanistan,yes
خيرخواه موبيل,Kabul,,,https://foursquare.com/v/%D8%AE%D9%8A%D8%B1%D8%AE%D9%88%D8%A7%D9%87-%D9%85%D9%88%D8%A8%D9%8A%D9%84/57565adb498e3e1415310b0e,,afghanistan,yes
"Park Tower, Bluesonic","Zargona Rd, Kabol, Afghanistan",,bluesonic.af,https://www.google.com/maps/?cid=3804025502685607360,,afghanistan,yes
Ibolit,"3 Հակոբ Հակոբյան, Yerevan, Armenia",+374 94 101100,imobi.am,https://www.facebook.com/1604393293144553/,,armenia,yes
All Cell,"52 Teryan St, Yerevan 0054, Armenia",+374 96 330008,allcell.am,https://www.facebook.com/410749852437524/,,armenia,yes
Huawei Armenia,"0001, 21 Tumanyan St, Yerevan 0001, Armenia",+374 10 606060,huaweiarmenia.am,https://www.facebook.com/520742501356050/,,armenia,yes
Yerevan Mobile,"18 Kievyan St, Yerevan 0033, Armenia",+374 11 838383,www.yerevanmobile.am,https://www.facebook.com/170602083076070/,,armenia,yes
Like Mobile,"41 Komitas Ave, Yerevan 0051, Armenia",+374 10 562401,likemobile.am,https://www.facebook.com/184932678329012/,,armenia,yes
VLV Electronics,"Arshakuniats Avenue 69/5, Yerevan 0007, Armenia",+374 10 449968,www.vlv.am,https://www.facebook.com/vlvcentre/,,armenia,yes
Mobile Centre,"27 Tumanyan St, Yerevan 0001, Armenia",+374 11 540000,www.mobilecentre.am,https://www.facebook.com/mobile.centre.armenia,,armenia,yes
Ucom,"16-115 Manandian street, Yerevan 0046, Armenia",+374 11 444444,www.ucom.am,https://www.facebook.com/283596728332968/,,armenia,yes
Yerevan Mobile,"22 Sayat-Nova Ave, Yerevan 0001, Armenia",+374 11 838383,yerevanmobile.am,https://www.facebook.com/170602083076070/,,armenia,yes
VKmobile,"10 Tumanyan St, Yerevan 0001, Armenia",+374 99 788979,,https://www.facebook.com/279863389121312/,,armenia,yes
Phone Line,"26 Komitas Ave, Yerevan, Armenia",+374 10 272244,,https://www.facebook.com/133693900088218/,,armenia,yes
Mr.Mobile Հեռախոսների Վերանորոգում.,"71 Gusan Sheram Street, Yerevan, Armenia",+374 96 666506,,https://www.facebook.com/mr.mobile.armenia,,armenia,yes
Team Telecom Armenia (Komitas 26),"26 Komitas Ave, Yerevan 0012, Armenia",+374 96 900611,www.telecomarmenia.am,https://www.facebook.com/beeline.am,,armenia,yes
Element.am,"Rich plaza, 12/5 Sevan Street, Yerevan, Armenia",+374 33 500000,element.am,https://www.facebook.com/elementarmenia/,,armenia,yes
MGSM Cell Phones & Notebook Service,"50 Nalbandyan St, Yerevan 0010, Armenia",+374 91 057047,www.mgsm.am,https://www.facebook.com/191281447598955/,,armenia,yes
Mobile House (Phone Store),"0009, 35 Isahakyan St, Yerevan 0009, Armenia",+374 11 202018,,https://www.facebook.com/mobilehousearmenia/,,armenia,yes
Mega Mobile,"14 Mesrop Mashtots Ave, Yerevan 0015, Armenia",+374 93 530599,,https://www.facebook.com/796372913872129/,,armenia,yes
N & M Mobile Service,"14 Isahakyan St, Yerevan 0025, Armenia",+374 96 645666,,https://www.facebook.com/nmmobile/,,armenia,yes
Mobitec,"3 Kasyan St, Yerevan 0033, Armenia",+374 10 276101,www.mobitec.am,https://www.facebook.com/MobitecArmenia/,,armenia,yes
My Phone,"21-55 Tigran Petrosyan St, Yerevan 0054, Armenia",+374 12 444001,,https://www.facebook.com/myphonearmenia,,armenia,yes
AV Mobile,"4 Kasyan St, Yerevan 0033, Armenia",+374 91 114116,,https://www.facebook.com/avarmenia/,,armenia,yes
iMobile,"31/10 Mesrop Mashtots Ave, Yerevan, Armenia",+374 60 650655,imobile.am,https://www.facebook.com/imobilecompanyyerevan/,,armenia,yes
G BOX Mobile And Computer Accessories,"15/8 Микоян, Yerevan, Armenia",+374 95 801080,,https://www.facebook.com/G-BOX-accessories-1043291495848128/,,armenia,yes
"Բջջային հեռախոսների, համակարգիչների և այլ թվային տեխնիկայի վերան","7 Griboyedov St, Yerevan 0051, Armenia",+374 93 214587,flex.am,https://www.facebook.com/Arm.Comp/,,armenia,yes
Askat Mobile,"22 Sayat-Nova Ave, Yerevan 0010, Armenia",+374 96 410100,,https://www.facebook.com/661909773888503/,,armenia,yes
D&M Mobile and Accessories,"5 Garegin Nzhdeh St, Yerevan 0006, Armenia",+374 91 161768,,https://www.facebook.com/profile.php,,armenia,yes
Ammeg Armenia,"17 Arshakunyats Ave, Yerevan, Armenia",+374 96 503350,,https://www.facebook.com/ammegarmeniaaccessories/,,armenia,yes
Master Mobile,"12, 4 Margaryan St, Yerevan, Armenia",+374 98 802090,mastermobile.am,https://www.facebook.com/166271120883630/,,armenia,yes
IQ Mobile,"32 Tumanyan St, Yerevan 0001, Armenia",+374 41 113114,iqmobile.am,https://www.facebook.com/iqmobilearmenia/,,armenia,yes
VS Mobile,"18 Tigran Mets Ave, Yerevan 0018, Armenia",+374 44 485858,vsmobile.am,https://www.facebook.com/vsmobile.armenia/,,armenia,yes
Avenue,"5 Northern Ave, Yerevan, Armenia",+374 10 702077,,https://www.facebook.com/AvenueGarden.Yerevan/,,armenia,yes
Mobile Centre,"25/5 Tigran Petrosyan St, Yerevan 0054, Armenia",+374 10 581493,www.mobilecentre.am,https://www.facebook.com/mobile.centre.armenia,,armenia,yes
Mobile Centre,"17A Arshakunyats Ave, Yerevan 0023, Armenia",+374 15 700000,www.mobilecentre.am,https://www.facebook.com/mobile.centre.armenia,,armenia,yes
Euroset Telecommunication Facilities Chain Store,"0002, Mashtotsi Ave. 42 (shop); Tigran Metsi Ave. 12 (shop); Kasyan St. 5 (shop); Garegin Nzhdehi St. 1 (shop), Yerevan",+374 93 188777,www.euroset.ru,https://www.facebook.com/euroset,,armenia,yes
itTREND Magazine,"96/6 Nalbandyan St, Yerevan, Armenia",,ittrend.am,https://www.facebook.com/itTREND.am,,armenia,yes
Mobile Centre,"60/2 Komitas Ave, Yerevan, Armenia",+374 10 299381,www.mobilecentre.am,https://www.facebook.com/mobile.centre.armenia,,armenia,yes
Element.am,"Rich plaza, 12/5 Sevan Street, Yerevan, Armenia",+374 33 500000,element.am,https://www.facebook.com/elementarmenia/,,armenia,yes
MGSM Cell Phones & Notebook Service,"50 Nalbandyan St, Yerevan 0010, Armenia",+374 91 057047,www.mgsm.am,https://www.facebook.com/191281447598955/,,armenia,yes
Mobile House (Phone Store),"0009, 35 Isahakyan St, Yerevan 0009, Armenia",+374 11 202018,,https://www.facebook.com/mobilehousearmenia/,,armenia,yes
N & M Mobile Service,"14 Isahakyan St, Yerevan 0025, Armenia",+374 96 645666,,https://www.facebook.com/nmmobile/,,armenia,yes
My Phone,"21-55 Tigran Petrosyan St, Yerevan 0054, Armenia",+374 12 444001,,https://www.facebook.com/myphonearmenia,,armenia,yes
AV Mobile,"4 Kasyan St, Yerevan 0033, Armenia",+374 91 114116,,https://www.facebook.com/avarmenia/,,armenia,yes
Beeline,4 Northern Ave.,,www.beeline.am,https://www.facebook.com/beeline.am,,armenia,yes
iMobile,"31/10 Mesrop Mashtots Ave, Yerevan, Armenia",+374 60 650655,imobile.am,https://www.facebook.com/imobilecompanyyerevan/,,armenia,yes
G BOX Mobile And Computer Accessories,"15/8 Микоян, Yerevan, Armenia",+374 95 801080,,https://www.facebook.com/G-BOX-accessories-1043291495848128/,,armenia,yes
Mobile World ( Հեռախոսների Աշխարհ,"9 Azatutyan Ave, Yerevan, Armenia",+374 94 747887,,https://www.facebook.com/MobileWorldArmenia,,armenia,yes
Askat Mobile,"22 Sayat-Nova Ave, Yerevan 0010, Armenia",+374 96 410100,,https://www.facebook.com/661909773888503/,,armenia,yes
D&M Mobile and Accessories,"5 Garegin Nzhdeh St, Yerevan 0006, Armenia",+374 91 161768,,https://www.facebook.com/profile.php,,armenia,yes
Mobile Centre,"23, August 23 st, Artashat, Armenia",+374 15 700000,mobilecentre.am,https://www.facebook.com/mobile.centre.armenia,,armenia,yes
Beeline Garni,"26, 1 Marzpetuni St, Garni 2215, Armenia",+374 96 900611,beeline.am,https://www.facebook.com/beeline.am,,armenia,yes
IQ Mobile,"32 Tumanyan St, Yerevan 0001, Armenia",+374 41 113114,iqmobile.am,https://www.facebook.com/iqmobilearmenia/,,armenia,yes
Master Mobile,"12, 4 Margaryan St, Yerevan, Armenia",+374 98 802090,mastermobile.am,https://www.facebook.com/166271120883630/,,armenia,yes
VS Mobile,"18 Tigran Mets Ave, Yerevan 0018, Armenia",+374 44 485858,vsmobile.am,https://www.facebook.com/vsmobile.armenia/,,armenia,yes
Ibolit,"3 Հակոբ Հակոբյան, Yerevan, Armenia",+374 94 101100,imobi.am,https://www.facebook.com/1604393293144553/,,armenia,yes
Ucom,"16-115 Manandian street, Yerevan 0046, Armenia",+374 11 444444,www.ucom.am,https://www.facebook.com/283596728332968/,,armenia,yes
Yerevan Mobile,"22 Sayat-Nova Ave, Yerevan 0001, Armenia",+374 11 838383,yerevanmobile.am,https://www.facebook.com/170602083076070/,,armenia,yes
VKmobile,"10 Tumanyan St, Yerevan 0001, Armenia",+374 99 788979,,https://www.facebook.com/279863389121312/,,armenia,yes
Mr.Mobile Հեռախոսների Վերանորոգում.,"71 Gusan Sheram Street, Yerevan, Armenia",+374 96 666506,,https://www.facebook.com/mr.mobile.armenia,,armenia,yes
Mega Mobile,"14 Mesrop Mashtots Ave, Yerevan 0015, Armenia",+374 93 530599,,https://www.facebook.com/796372913872129/,,armenia,yes
Mobitec,"3 Kasyan St, Yerevan 0033, Armenia",+374 10 276101,www.mobitec.am,https://www.facebook.com/MobitecArmenia/,,armenia,yes
"Բջջային հեռախոսների, համակարգիչների և այլ թվային տեխնիկայի վերան","7 Griboyedov St, Yerevan 0051, Armenia",+374 93 214587,flex.am,https://www.facebook.com/Arm.Comp/,,armenia,yes
Armtronic,"22/1 Արտաշատյան խճուղի, Masis 0724, Armenia",+374 77 338779,armenelectronic.business.site,https://www.facebook.com/armtronic.am/,,armenia,yes
Ammeg Armenia,"17 Arshakunyats Ave, Yerevan, Armenia",+374 96 503350,,https://www.facebook.com/ammegarmeniaaccessories/,,armenia,yes
Avenue,"5 Northern Ave, Yerevan, Armenia",+374 10 702077,,https://www.facebook.com/AvenueGarden.Yerevan/,,armenia,yes
Beeline Ashtarak,Sisakyan 1,,www.beeline.am,https://www.facebook.com/beeline.am,,armenia,yes
My Phone,"21-55 Tigran Petrosyan St, Yerevan 0054, Armenia",+374 12 444001,,https://www.facebook.com/myphonearmenia,,armenia,yes
Beeline,4 Northern Ave.,,www.beeline.am,https://www.facebook.com/beeline.am,,armenia,yes
Mobile World ( Հեռախոսների Աշխարհ,"9 Azatutyan Ave, Yerevan, Armenia",+374 94 747887,,https://www.facebook.com/MobileWorldArmenia,,armenia,yes
Mobile Centre,"23, August 23 st, Artashat, Armenia",+374 15 700000,mobilecentre.am,https://www.facebook.com/mobile.centre.armenia,,armenia,yes
VS Mobile,"18 Tigran Mets Ave, Yerevan 0018, Armenia",+374 44 485858,vsmobile.am,https://www.facebook.com/vsmobile.armenia/,,armenia,yes
Ibolit,"3 Հակոբ Հակոբյան, Yerevan, Armenia",+374 94 101100,imobi.am,https://www.facebook.com/1604393293144553/,,armenia,yes
All Cell,"52 Teryan St, Yerevan 0054, Armenia",+374 96 330008,allcell.am,https://www.facebook.com/410749852437524/,,armenia,yes
Huawei Armenia,"0001, 21 Tumanyan St, Yerevan 0001, Armenia",+374 10 606060,huaweiarmenia.am,https://www.facebook.com/520742501356050/,,armenia,yes
Yerevan Mobile,"18 Kievyan St, Yerevan 0033, Armenia",+374 11 838383,www.yerevanmobile.am,https://www.facebook.com/170602083076070/,,armenia,yes
Like Mobile,"41 Komitas Ave, Yerevan 0051, Armenia",+374 10 562401,likemobile.am,https://www.facebook.com/184932678329012/,,armenia,yes
Ucom,"16-115 Manandian street, Yerevan 0046, Armenia",+374 11 444444,www.ucom.am,https://www.facebook.com/283596728332968/,,armenia,yes
Yerevan Mobile,"22 Sayat-Nova Ave, Yerevan 0001, Armenia",+374 11 838383,yerevanmobile.am,https://www.facebook.com/170602083076070/,,armenia,yes
VKmobile,"10 Tumanyan St, Yerevan 0001, Armenia",+374 99 788979,,https://www.facebook.com/279863389121312/,,armenia,yes
Mr.Mobile Հեռախոսների Վերանորոգում.,"71 Gusan Sheram Street, Yerevan, Armenia",+374 96 666506,,https://www.facebook.com/mr.mobile.armenia,,armenia,yes
N & M Mobile Service,"14 Isahakyan St, Yerevan 0025, Armenia",+374 96 645666,,https://www.facebook.com/nmmobile/,,armenia,yes
AV Mobile,"4 Kasyan St, Yerevan 0033, Armenia",+374 91 114116,,https://www.facebook.com/avarmenia/,,armenia,yes
iMobile,"31/10 Mesrop Mashtots Ave, Yerevan, Armenia",+374 60 650655,imobile.am,https://www.facebook.com/imobilecompanyyerevan/,,armenia,yes
G BOX Mobile And Computer Accessories,"15/8 Микоян, Yerevan, Armenia",+374 95 801080,,https://www.facebook.com/G-BOX-accessories-1043291495848128/,,armenia,yes
"Բջջային հեռախոսների, համակարգիչների և այլ թվային տեխնիկայի վերան","7 Griboyedov St, Yerevan 0051, Armenia",+374 93 214587,flex.am,https://www.facebook.com/Arm.Comp/,,armenia,yes
Armtronic,"22/1 Արտաշատյան խճուղի, Masis 0724, Armenia",+374 77 338779,armenelectronic.business.site,https://www.facebook.com/armtronic.am/,,armenia,yes
